ID:100 has a score of 78.0, Letter grade: C
ID:219 has a score of 54.0, Letter grade: F
ID:220 has a score of 48.67, Letter grade: F
ID:221 has a score of 81.67, Letter grade: B
ID:222 has a score of 49.33, Letter grade: F
ID:223 has a score of 38.0, Letter grade: F
ID:224 has a score of 39.67, Letter grade: F
ID:225 has a score of 23.33, Letter grade: F
ID:226 has a score of 49.0, Letter grade: F
ID:227 has a score of 52.33, Letter grade: F
ID:228 has a score of 34.0, Letter grade: F
ID:229 has a score of 48.0, Letter grade: F
ID:230 has a score of 32.33, Letter grade: F
ID:231 has a score of 61.33, Letter grade: D
ID:232 has a score of 39.33, Letter grade: F
ID:233 has a score of 37.0, Letter grade: F
ID:234 has a score of 52.67, Letter grade: F
ID:235 has a score of 63.0, Letter grade: D
ID:236 has a score of 51.0, Letter grade: F
ID:237 has a score of 30.33, Letter grade: F
ID:238 has a score of 34.33, Letter grade: F
ID:239 has a score of 49.67, Letter grade: F
ID:240 has a score of 32.33, Letter grade: F
ID:241 has a score of 42.33, Letter grade: F
ID:242 has a score of 47.67, Letter grade: F
ID:243 has a score of 32.67, Letter grade: F
ID:244 has a score of 45.67, Letter grade: F
ID:245 has a score of 65.33, Letter grade: D
ID:246 has a score of 52.33, Letter grade: F
ID:247 has a score of 45.67, Letter grade: F
ID:248 has a score of 28.33, Letter grade: F
ID:249 has a score of 49.33, Letter grade: F
ID:250 has a score of 49.67, Letter grade: F
ID:251 has a score of 37.33, Letter grade: F
ID:252 has a score of 35.67, Letter grade: F
ID:253 has a score of 55.67, Letter grade: F
ID:254 has a score of 47.0, Letter grade: F
ID:255 has a score of 70.33, Letter grade: C
ID:256 has a score of 28.67, Letter grade: F
ID:257 has a score of 69.0, Letter grade: D
ID:258 has a score of 30.33, Letter grade: F
ID:259 has a score of 59.33, Letter grade: F
ID:260 has a score of 64.33, Letter grade: D
ID:261 has a score of 40.0, Letter grade: F
ID:262 has a score of 60.0, Letter grade: D
ID:263 has a score of 66.33, Letter grade: D
ID:264 has a score of 70.0, Letter grade: C
ID:265 has a score of 51.0, Letter grade: F
ID:266 has a score of 55.33, Letter grade: F
ID:267 has a score of 51.33, Letter grade: F
ID:268 has a score of 63.33, Letter grade: D
ID:269 has a score of 44.67, Letter grade: F
ID:270 has a score of 60.33, Letter grade: D
ID:271 has a score of 31.0, Letter grade: F
ID:272 has a score of 76.67, Letter grade: C
ID:273 has a score of 60.0, Letter grade: D
ID:274 has a score of 43.67, Letter grade: F
ID:275 has a score of 47.33, Letter grade: F
ID:276 has a score of 50.0, Letter grade: F
ID:277 has a score of 67.67, Letter grade: D
ID:278 has a score of 23.67, Letter grade: F
ID:279 has a score of 39.33, Letter grade: F
ID:280 has a score of 59.67, Letter grade: F
ID:281 has a score of 52.33, Letter grade: F
ID:282 has a score of 66.67, Letter grade: D
ID:283 has a score of 49.0, Letter grade: F
ID:284 has a score of 67.67, Letter grade: D
ID:285 has a score of 66.33, Letter grade: D
ID:286 has a score of 45.67, Letter grade: F
ID:287 has a score of 50.67, Letter grade: F
ID:288 has a score of 58.33, Letter grade: F
ID:289 has a score of 53.33, Letter grade: F
ID:290 has a score of 40.67, Letter grade: F
ID:291 has a score of 75.67, Letter grade: C
ID:292 has a score of 67.67, Letter grade: D
ID:293 has a score of 70.33, Letter grade: C
ID:294 has a score of 32.0, Letter grade: F
ID:295 has a score of 87.67, Letter grade: B
ID:296 has a score of 63.67, Letter grade: D
ID:297 has a score of 49.67, Letter grade: F
ID:298 has a score of 12.67, Letter grade: F
ID:299 has a score of 45.0, Letter grade: F
ID:300 has a score of 40.33, Letter grade: F
ID:301 has a score of 68.67, Letter grade: D
ID:302 has a score of 39.0, Letter grade: F
ID:303 has a score of 53.67, Letter grade: F
ID:304 has a score of 29.33, Letter grade: F
ID:305 has a score of 63.33, Letter grade: D
ID:306 has a score of 29.33, Letter grade: F
ID:307 has a score of 72.33, Letter grade: C
ID:308 has a score of 56.67, Letter grade: F
ID:309 has a score of 41.0, Letter grade: F
ID:310 has a score of 55.0, Letter grade: F
ID:311 has a score of 30.67, Letter grade: F
ID:312 has a score of 59.33, Letter grade: F
ID:313 has a score of 71.33, Letter grade: C
ID:314 has a score of 60.33, Letter grade: D
ID:315 has a score of 35.0, Letter grade: F
ID:316 has a score of 60.0, Letter grade: D
ID:317 has a score of 39.0, Letter grade: F
ID:318 has a score of 38.67, Letter grade: F
ID:319 has a score of 58.33, Letter grade: F
ID:320 has a score of 62.67, Letter grade: D
ID:321 has a score of 53.67, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:323 has a score of 45.67, Letter grade: F
ID:324 has a score of 47.0, Letter grade: F
ID:325 has a score of 44.33, Letter grade: F
ID:326 has a score of 47.67, Letter grade: F
ID:327 has a score of 38.67, Letter grade: F
ID:328 has a score of 46.33, Letter grade: F
ID:329 has a score of 75.67, Letter grade: C
ID:330 has a score of 69.67, Letter grade: D
ID:331 has a score of 57.67, Letter grade: F
ID:332 has a score of 61.33, Letter grade: D
ID:333 has a score of 43.33, Letter grade: F
ID:334 has a score of 25.67, Letter grade: F
ID:335 has a score of 53.0, Letter grade: F
ID:336 has a score of 45.67, Letter grade: F
ID:337 has a score of 54.33, Letter grade: F
ID:338 has a score of 43.0, Letter grade: F
ID:339 has a score of 17.33, Letter grade: F
ID:340 has a score of 50.67, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:342 has a score of 55.33, Letter grade: F
ID:343 has a score of 46.33, Letter grade: F
ID:344 has a score of 50.67, Letter grade: F
ID:345 has a score of 41.0, Letter grade: F
ID:346 has a score of 35.67, Letter grade: F
ID:347 has a score of 46.0, Letter grade: F
ID:348 has a score of 33.0, Letter grade: F
ID:349 has a score of 19.0, Letter grade: F
ID:350 has a score of 61.67, Letter grade: D
ID:351 has a score of 41.67, Letter grade: F
ID:352 has a score of 60.0, Letter grade: D
ID:353 has a score of 51.0, Letter grade: F
ID:354 has a score of 50.67, Letter grade: F
ID:355 has a score of 55.33, Letter grade: F
ID:356 has a score of 58.0, Letter grade: F
ID:357 has a score of 45.0, Letter grade: F
ID:358 has a score of 30.33, Letter grade: F
ID:359 has a score of 28.67, Letter grade: F
ID:360 has a score of 77.33, Letter grade: C
ID:361 has a score of 55.0, Letter grade: F
ID:362 has a score of 66.0, Letter grade: D
ID:363 has a score of 26.33, Letter grade: F
ID:364 has a score of 94.33, Letter grade: A
ID:365 has a score of 90.33, Letter grade: A
ID:366 has a score of 70.0, Letter grade: C
ID:367 has a score of 30.67, Letter grade: F
ID:368 has a score of 74.0, Letter grade: C
ID:369 has a score of 29.67, Letter grade: F
ID:370 has a score of 71.33, Letter grade: C
ID:371 has a score of 41.33, Letter grade: F
ID:372 has a score of 35.0, Letter grade: F
ID:373 has a score of 56.0, Letter grade: F
ID:374 has a score of 71.0, Letter grade: C
ID:375 has a score of 45.67, Letter grade: F
ID:376 has a score of 79.0, Letter grade: C
ID:377 has a score of 46.0, Letter grade: F
ID:378 has a score of 17.33, Letter grade: F
ID:379 has a score of 72.33, Letter grade: C
ID:380 has a score of 70.67, Letter grade: C
ID:381 has a score of 63.0, Letter grade: D
ID:382 has a score of 66.67, Letter grade: D
ID:383 has a score of 31.33, Letter grade: F
ID:384 has a score of 57.0, Letter grade: F
ID:385 has a score of 59.33, Letter grade: F
ID:386 has a score of 17.33, Letter grade: F
ID:387 has a score of 70.67, Letter grade: C
ID:388 has a score of 17.33, Letter grade: F
ID:389 has a score of 62.0, Letter grade: D
ID:390 has a score of 42.33, Letter grade: F
ID:391 has a score of 65.0, Letter grade: D
ID:392 has a score of 25.67, Letter grade: F
ID:393 has a score of 54.0, Letter grade: F
ID:394 has a score of 60.0, Letter grade: D
ID:395 has a score of 48.67, Letter grade: F
ID:396 has a score of 74.0, Letter grade: C
ID:397 has a score of 60.33, Letter grade: D
ID:398 has a score of 28.0, Letter grade: F
ID:399 has a score of 36.0, Letter grade: F
ID:400 has a score of 30.33, Letter grade: F
ID:401 has a score of 54.0, Letter grade: F
ID:402 has a score of 38.0, Letter grade: F
ID:403 has a score of 51.0, Letter grade: F
ID:404 has a score of 66.0, Letter grade: D
ID:405 has a score of 30.33, Letter grade: F
ID:406 has a score of 29.67, Letter grade: F
ID:407 has a score of 57.33, Letter grade: F
ID:408 has a score of 44.33, Letter grade: F
ID:409 has a score of 50.0, Letter grade: F
ID:410 has a score of 23.0, Letter grade: F
ID:411 has a score of 31.67, Letter grade: F
ID:412 has a score of 78.67, Letter grade: C
ID:413 has a score of 84.67, Letter grade: B
ID:414 has a score of 65.67, Letter grade: D
ID:415 has a score of 39.67, Letter grade: F
ID:416 has a score of 16.67, Letter grade: F
ID:417 has a score of 55.33, Letter grade: F
ID:418 has a score of 67.67, Letter grade: D
ID:419 has a score of 29.67, Letter grade: F
ID:420 has a score of 78.67, Letter grade: C
ID:421 has a score of 30.0, Letter grade: F
ID:422 has a score of 51.0, Letter grade: F
ID:423 has a score of 23.0, Letter grade: F
ID:424 has a score of 72.33, Letter grade: C
ID:425 has a score of 44.33, Letter grade: F
ID:426 has a score of 38.67, Letter grade: F
ID:427 has a score of 36.33, Letter grade: F
ID:428 has a score of 54.0, Letter grade: F
ID:429 has a score of 53.33, Letter grade: F
ID:430 has a score of 75.33, Letter grade: C
ID:431 has a score of 26.67, Letter grade: F
ID:432 has a score of 71.33, Letter grade: C
ID:433 has a score of 62.67, Letter grade: D
ID:434 has a score of 28.0, Letter grade: F
ID:435 has a score of 54.0, Letter grade: F
ID:436 has a score of 80.33, Letter grade: B
ID:437 has a score of 49.0, Letter grade: F
ID:438 has a score of 44.67, Letter grade: F
ID:439 has a score of 31.33, Letter grade: F
ID:440 has a score of 35.0, Letter grade: F
ID:441 has a score of 60.33, Letter grade: D
ID:442 has a score of 59.33, Letter grade: F
ID:443 has a score of 29.0, Letter grade: F
ID:444 has a score of 36.33, Letter grade: F
ID:445 has a score of 53.33, Letter grade: F
ID:446 has a score of 47.67, Letter grade: F
ID:447 has a score of 30.67, Letter grade: F
ID:448 has a score of 57.33, Letter grade: F
ID:449 has a score of 46.0, Letter grade: F
ID:450 has a score of 43.67, Letter grade: F
ID:451 has a score of 27.0, Letter grade: F
ID:452 has a score of 53.0, Letter grade: F
ID:453 has a score of 73.0, Letter grade: C
ID:454 has a score of 48.67, Letter grade: F
ID:455 has a score of 64.33, Letter grade: D
ID:456 has a score of 52.67, Letter grade: F
ID:457 has a score of 80.33, Letter grade: B
ID:458 has a score of 79.0, Letter grade: C
ID:459 has a score of 71.33, Letter grade: C
ID:460 has a score of 52.67, Letter grade: F
ID:461 has a score of 39.33, Letter grade: F
ID:462 has a score of 48.0, Letter grade: F
ID:463 has a score of 67.33, Letter grade: D
ID:464 has a score of 64.67, Letter grade: D
ID:465 has a score of 27.33, Letter grade: F
ID:466 has a score of 48.33, Letter grade: F
ID:467 has a score of 45.0, Letter grade: F
ID:468 has a score of 25.0, Letter grade: F
ID:469 has a score of 64.67, Letter grade: D
ID:470 has a score of 26.67, Letter grade: F
ID:471 has a score of 44.0, Letter grade: F
ID:472 has a score of 67.33, Letter grade: D
ID:473 has a score of 33.33, Letter grade: F
ID:474 has a score of 47.33, Letter grade: F
ID:475 has a score of 53.0, Letter grade: F
ID:476 has a score of 64.33, Letter grade: D
ID:477 has a score of 36.67, Letter grade: F
ID:478 has a score of 39.33, Letter grade: F
ID:479 has a score of 22.67, Letter grade: F
ID:480 has a score of 37.33, Letter grade: F
ID:481 has a score of 63.0, Letter grade: D
ID:482 has a score of 61.33, Letter grade: D
ID:483 has a score of 42.0, Letter grade: F
ID:484 has a score of 34.0, Letter grade: F
ID:485 has a score of 67.33, Letter grade: D
ID:486 has a score of 17.33, Letter grade: F
ID:487 has a score of 54.33, Letter grade: F
ID:488 has a score of 56.67, Letter grade: F
ID:489 has a score of 58.67, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:491 has a score of 58.33, Letter grade: F
ID:492 has a score of 62.0, Letter grade: D
ID:493 has a score of 71.0, Letter grade: C
ID:494 has a score of 52.33, Letter grade: F
ID:495 has a score of 35.0, Letter grade: F
ID:496 has a score of 62.0, Letter grade: D
ID:497 has a score of 43.0, Letter grade: F
ID:498 has a score of 69.67, Letter grade: D
ID:499 has a score of 45.67, Letter grade: F
ID:500 has a score of 69.67, Letter grade: D
ID:501 has a score of 34.33, Letter grade: F
ID:502 has a score of 42.0, Letter grade: F
ID:503 has a score of 75.0, Letter grade: C
ID:504 has a score of 70.67, Letter grade: C
ID:505 has a score of 50.33, Letter grade: F
ID:506 has a score of 38.0, Letter grade: F
ID:507 has a score of 62.0, Letter grade: D
ID:508 has a score of 47.0, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:510 has a score of 76.67, Letter grade: C
ID:511 has a score of 67.33, Letter grade: D
ID:512 has a score of 66.0, Letter grade: D
ID:513 has a score of 56.33, Letter grade: F
ID:514 has a score of 34.33, Letter grade: F
ID:515 has a score of 64.0, Letter grade: D
ID:516 has a score of 56.33, Letter grade: F
ID:517 has a score of 61.33, Letter grade: D
ID:518 has a score of 45.33, Letter grade: F
ID:519 has a score of 65.67, Letter grade: D
ID:520 has a score of 79.33, Letter grade: C
ID:521 has a score of 26.33, Letter grade: F
ID:522 has a score of 38.0, Letter grade: F
ID:523 has a score of 69.33, Letter grade: D
ID:524 has a score of 36.33, Letter grade: F
ID:525 has a score of 48.67, Letter grade: F
ID:526 has a score of 30.67, Letter grade: F
ID:527 has a score of 40.67, Letter grade: F
ID:528 has a score of 23.33, Letter grade: F
ID:529 has a score of 57.33, Letter grade: F
ID:530 has a score of 81.33, Letter grade: B
ID:531 has a score of 54.0, Letter grade: F
ID:532 has a score of 68.67, Letter grade: D
ID:533 has a score of 69.67, Letter grade: D
ID:534 has a score of 49.33, Letter grade: F
ID:535 has a score of 44.67, Letter grade: F
ID:536 has a score of 45.33, Letter grade: F
ID:537 has a score of 31.33, Letter grade: F
ID:538 has a score of 65.33, Letter grade: D
ID:539 has a score of 79.0, Letter grade: C
ID:540 has a score of 46.33, Letter grade: F
ID:541 has a score of 54.33, Letter grade: F
ID:542 has a score of 41.67, Letter grade: F
ID:543 has a score of 55.33, Letter grade: F
ID:544 has a score of 76.33, Letter grade: C
ID:545 has a score of 53.33, Letter grade: F
ID:546 has a score of 17.33, Letter grade: F
ID:547 has a score of 45.33, Letter grade: F
ID:548 has a score of 53.67, Letter grade: F
ID:549 has a score of 81.67, Letter grade: B
ID:550 has a score of 51.67, Letter grade: F
ID:551 has a score of 34.33, Letter grade: F
ID:552 has a score of 35.33, Letter grade: F
ID:553 has a score of 60.67, Letter grade: D
ID:554 has a score of 74.0, Letter grade: C
ID:555 has a score of 25.33, Letter grade: F
ID:556 has a score of 60.67, Letter grade: D
ID:557 has a score of 33.67, Letter grade: F
ID:558 has a score of 67.0, Letter grade: D
ID:559 has a score of 64.33, Letter grade: D
ID:560 has a score of 40.67, Letter grade: F
ID:561 has a score of 18.0, Letter grade: F
ID:562 has a score of 81.67, Letter grade: B
ID:563 has a score of 37.33, Letter grade: F
ID:564 has a score of 66.67, Letter grade: D
ID:565 has a score of 58.0, Letter grade: F
ID:566 has a score of 70.0, Letter grade: C
ID:567 has a score of 44.33, Letter grade: F
ID:568 has a score of 37.33, Letter grade: F
ID:569 has a score of 55.67, Letter grade: F
ID:570 has a score of 81.33, Letter grade: B
ID:571 has a score of 27.67, Letter grade: F
ID:572 has a score of 42.33, Letter grade: F
ID:573 has a score of 36.67, Letter grade: F
ID:574 has a score of 37.67, Letter grade: F
ID:575 has a score of 60.0, Letter grade: D
ID:576 has a score of 45.33, Letter grade: F
ID:577 has a score of 64.33, Letter grade: D
ID:578 has a score of 55.67, Letter grade: F
ID:579 has a score of 18.67, Letter grade: F
ID:580 has a score of 59.67, Letter grade: F
ID:581 has a score of 40.33, Letter grade: F
ID:582 has a score of 33.33, Letter grade: F
ID:583 has a score of 57.33, Letter grade: F
ID:584 has a score of 34.33, Letter grade: F
ID:585 has a score of 10.0, Letter grade: F
ID:586 has a score of 45.0, Letter grade: F
ID:587 has a score of 43.33, Letter grade: F
ID:588 has a score of 44.0, Letter grade: F
ID:589 has a score of 57.33, Letter grade: F
ID:590 has a score of 53.33, Letter grade: F
ID:591 has a score of 39.33, Letter grade: F
ID:592 has a score of 50.0, Letter grade: F
ID:593 has a score of 80.67, Letter grade: B
ID:594 has a score of 45.67, Letter grade: F
ID:595 has a score of 28.0, Letter grade: F
ID:596 has a score of 61.33, Letter grade: D
ID:597 has a score of 28.67, Letter grade: F
ID:598 has a score of 84.67, Letter grade: B
ID:599 has a score of 52.67, Letter grade: F
ID:600 has a score of 70.33, Letter grade: C
ID:601 has a score of 33.0, Letter grade: F
ID:602 has a score of 71.0, Letter grade: C
ID:603 has a score of 55.33, Letter grade: F
ID:604 has a score of 13.67, Letter grade: F
ID:605 has a score of 63.33, Letter grade: D
ID:606 has a score of 64.67, Letter grade: D
ID:607 has a score of 33.33, Letter grade: F
ID:608 has a score of 57.67, Letter grade: F
ID:609 has a score of 14.33, Letter grade: F
ID:610 has a score of 64.0, Letter grade: D
ID:611 has a score of 65.0, Letter grade: D
ID:612 has a score of 10.67, Letter grade: F
ID:613 has a score of 23.67, Letter grade: F
ID:614 has a score of 48.67, Letter grade: F
ID:615 has a score of 68.67, Letter grade: D
ID:616 has a score of 66.67, Letter grade: D
ID:617 has a score of 55.67, Letter grade: F
ID:618 has a score of 54.33, Letter grade: F
ID:619 has a score of 16.67, Letter grade: F
ID:620 has a score of 49.33, Letter grade: F
ID:621 has a score of 30.33, Letter grade: F
ID:622 has a score of 49.33, Letter grade: F
ID:623 has a score of 85.33, Letter grade: B
ID:624 has a score of 52.33, Letter grade: F
ID:625 has a score of 70.67, Letter grade: C
ID:626 has a score of 87.0, Letter grade: B
ID:627 has a score of 32.0, Letter grade: F
ID:628 has a score of 48.67, Letter grade: F
ID:629 has a score of 42.33, Letter grade: F
ID:630 has a score of 74.0, Letter grade: C
ID:631 has a score of 46.33, Letter grade: F
ID:632 has a score of 69.33, Letter grade: D
ID:633 has a score of 65.0, Letter grade: D
ID:634 has a score of 70.67, Letter grade: C
ID:635 has a score of 42.67, Letter grade: F
ID:636 has a score of 74.67, Letter grade: C
ID:637 has a score of 27.33, Letter grade: F
ID:638 has a score of 58.67, Letter grade: F
ID:639 has a score of 4.33, Letter grade: F
ID:640 has a score of 76.33, Letter grade: C
ID:641 has a score of 38.33, Letter grade: F
ID:642 has a score of 28.67, Letter grade: F
ID:643 has a score of 39.33, Letter grade: F
ID:644 has a score of 39.0, Letter grade: F
ID:645 has a score of 54.0, Letter grade: F
ID:646 has a score of 47.33, Letter grade: F
ID:647 has a score of 47.0, Letter grade: F
ID:648 has a score of 54.67, Letter grade: F
ID:649 has a score of 76.33, Letter grade: C
ID:650 has a score of 51.33, Letter grade: F
ID:651 has a score of 43.67, Letter grade: F
ID:652 has a score of 39.33, Letter grade: F
ID:653 has a score of 37.0, Letter grade: F
ID:654 has a score of 63.0, Letter grade: D
ID:655 has a score of 41.33, Letter grade: F
ID:656 has a score of 26.33, Letter grade: F
ID:657 has a score of 30.33, Letter grade: F
ID:658 has a score of 42.0, Letter grade: F
ID:659 has a score of 24.67, Letter grade: F
ID:660 has a score of 70.33, Letter grade: C
ID:661 has a score of 46.33, Letter grade: F
ID:662 has a score of 54.0, Letter grade: F
ID:663 has a score of 54.0, Letter grade: F
ID:664 has a score of 16.0, Letter grade: F
ID:665 has a score of 47.0, Letter grade: F
ID:666 has a score of 73.0, Letter grade: C
ID:667 has a score of 46.0, Letter grade: F
ID:668 has a score of 14.33, Letter grade: F
ID:669 has a score of 43.67, Letter grade: F
ID:670 has a score of 61.67, Letter grade: D
ID:671 has a score of 44.67, Letter grade: F
ID:672 has a score of 22.67, Letter grade: F
ID:673 has a score of 43.67, Letter grade: F
ID:674 has a score of 51.0, Letter grade: F
ID:675 has a score of 26.33, Letter grade: F
ID:676 has a score of 49.67, Letter grade: F
ID:677 has a score of 48.67, Letter grade: F
ID:678 has a score of 82.33, Letter grade: B
ID:679 has a score of 55.0, Letter grade: F
ID:680 has a score of 37.33, Letter grade: F
ID:681 has a score of 20.67, Letter grade: F
ID:682 has a score of 46.67, Letter grade: F
ID:683 has a score of 31.0, Letter grade: F
ID:684 has a score of 30.67, Letter grade: F
ID:685 has a score of 51.33, Letter grade: F
ID:686 has a score of 56.33, Letter grade: F
ID:687 has a score of 63.33, Letter grade: D
ID:688 has a score of 70.33, Letter grade: C
ID:689 has a score of 65.67, Letter grade: D
ID:690 has a score of 7.33, Letter grade: F
ID:691 has a score of 53.33, Letter grade: F
ID:692 has a score of 20.33, Letter grade: F
ID:693 has a score of 15.67, Letter grade: F
ID:694 has a score of 49.33, Letter grade: F
ID:695 has a score of 25.0, Letter grade: F
ID:696 has a score of 60.33, Letter grade: D
ID:697 has a score of 51.33, Letter grade: F
ID:698 has a score of 86.33, Letter grade: B
ID:699 has a score of 50.67, Letter grade: F
ID:700 has a score of 77.67, Letter grade: C
ID:701 has a score of 23.67, Letter grade: F
ID:702 has a score of 66.67, Letter grade: D
ID:703 has a score of 53.67, Letter grade: F
ID:704 has a score of 29.0, Letter grade: F
ID:705 has a score of 26.67, Letter grade: F
ID:706 has a score of 36.33, Letter grade: F
ID:707 has a score of 53.0, Letter grade: F
ID:708 has a score of 49.0, Letter grade: F
ID:709 has a score of 35.0, Letter grade: F
ID:710 has a score of 67.67, Letter grade: D
ID:711 has a score of 41.0, Letter grade: F
ID:712 has a score of 65.0, Letter grade: D
ID:713 has a score of 33.67, Letter grade: F
ID:714 has a score of 45.33, Letter grade: F
ID:715 has a score of 62.33, Letter grade: D
ID:716 has a score of 68.67, Letter grade: D
ID:717 has a score of 45.0, Letter grade: F
ID:718 has a score of 17.33, Letter grade: F
ID:719 has a score of 27.33, Letter grade: F
ID:720 has a score of 59.67, Letter grade: F
ID:721 has a score of 64.33, Letter grade: D
ID:722 has a score of 50.33, Letter grade: F
ID:723 has a score of 61.0, Letter grade: D
ID:724 has a score of 48.67, Letter grade: F
ID:725 has a score of 64.67, Letter grade: D
ID:726 has a score of 50.67, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:728 has a score of 56.33, Letter grade: F
ID:729 has a score of 46.33, Letter grade: F
ID:730 has a score of 60.0, Letter grade: D
ID:731 has a score of 40.0, Letter grade: F
ID:732 has a score of 43.33, Letter grade: F
ID:733 has a score of 64.67, Letter grade: D
ID:734 has a score of 51.33, Letter grade: F
