ID:639 has a score of 4.33, Letter grade: F
ID:470 has a score of 26.67, Letter grade: F
ID:863 has a score of 26.67, Letter grade: F
ID:705 has a score of 26.67, Letter grade: F
ID:431 has a score of 26.67, Letter grade: F
ID:470 has a score of 26.67, Letter grade: F
ID:863 has a score of 26.67, Letter grade: F
ID:705 has a score of 26.67, Letter grade: F
ID:431 has a score of 26.67, Letter grade: F
ID:470 has a score of 26.67, Letter grade: F
ID:863 has a score of 26.67, Letter grade: F
ID:705 has a score of 26.67, Letter grade: F
ID:451 has a score of 27.0, Letter grade: F
ID:824 has a score of 27.0, Letter grade: F
ID:451 has a score of 27.0, Letter grade: F
ID:824 has a score of 27.0, Letter grade: F
ID:637 has a score of 27.33, Letter grade: F
ID:719 has a score of 27.33, Letter grade: F
ID:465 has a score of 27.33, Letter grade: F
ID:637 has a score of 27.33, Letter grade: F
ID:719 has a score of 27.33, Letter grade: F
ID:465 has a score of 27.33, Letter grade: F
ID:637 has a score of 27.33, Letter grade: F
ID:719 has a score of 27.33, Letter grade: F
ID:465 has a score of 27.33, Letter grade: F
ID:571 has a score of 27.67, Letter grade: F
ID:786 has a score of 27.67, Letter grade: F
ID:571 has a score of 27.67, Letter grade: F
ID:786 has a score of 27.67, Letter grade: F
ID:398 has a score of 28.0, Letter grade: F
ID:970 has a score of 28.0, Letter grade: F
ID:595 has a score of 28.0, Letter grade: F
ID:882 has a score of 28.0, Letter grade: F
ID:751 has a score of 28.0, Letter grade: F
ID:434 has a score of 28.0, Letter grade: F
ID:797 has a score of 28.0, Letter grade: F
ID:398 has a score of 28.0, Letter grade: F
ID:970 has a score of 28.0, Letter grade: F
ID:595 has a score of 28.0, Letter grade: F
ID:882 has a score of 28.0, Letter grade: F
ID:751 has a score of 28.0, Letter grade: F
ID:434 has a score of 28.0, Letter grade: F
ID:797 has a score of 28.0, Letter grade: F
ID:398 has a score of 28.0, Letter grade: F
ID:970 has a score of 28.0, Letter grade: F
ID:595 has a score of 28.0, Letter grade: F
ID:882 has a score of 28.0, Letter grade: F
ID:751 has a score of 28.0, Letter grade: F
ID:434 has a score of 28.0, Letter grade: F
ID:797 has a score of 28.0, Letter grade: F
ID:398 has a score of 28.0, Letter grade: F
ID:970 has a score of 28.0, Letter grade: F
ID:595 has a score of 28.0, Letter grade: F
ID:882 has a score of 28.0, Letter grade: F
ID:751 has a score of 28.0, Letter grade: F
ID:434 has a score of 28.0, Letter grade: F
ID:797 has a score of 28.0, Letter grade: F
ID:398 has a score of 28.0, Letter grade: F
ID:970 has a score of 28.0, Letter grade: F
ID:595 has a score of 28.0, Letter grade: F
ID:882 has a score of 28.0, Letter grade: F
ID:751 has a score of 28.0, Letter grade: F
ID:434 has a score of 28.0, Letter grade: F
ID:797 has a score of 28.0, Letter grade: F
ID:398 has a score of 28.0, Letter grade: F
ID:970 has a score of 28.0, Letter grade: F
ID:595 has a score of 28.0, Letter grade: F
ID:882 has a score of 28.0, Letter grade: F
ID:751 has a score of 28.0, Letter grade: F
ID:434 has a score of 28.0, Letter grade: F
ID:797 has a score of 28.0, Letter grade: F
ID:398 has a score of 28.0, Letter grade: F
ID:970 has a score of 28.0, Letter grade: F
ID:595 has a score of 28.0, Letter grade: F
ID:882 has a score of 28.0, Letter grade: F
ID:751 has a score of 28.0, Letter grade: F
ID:434 has a score of 28.0, Letter grade: F
ID:797 has a score of 28.0, Letter grade: F
ID:248 has a score of 28.33, Letter grade: F
ID:194 has a score of 28.33, Letter grade: F
ID:248 has a score of 28.33, Letter grade: F
ID:194 has a score of 28.33, Letter grade: F
ID:359 has a score of 28.67, Letter grade: F
ID:981 has a score of 28.67, Letter grade: F
ID:597 has a score of 28.67, Letter grade: F
ID:256 has a score of 28.67, Letter grade: F
ID:642 has a score of 28.67, Letter grade: F
ID:943 has a score of 28.67, Letter grade: F
ID:359 has a score of 28.67, Letter grade: F
ID:981 has a score of 28.67, Letter grade: F
ID:597 has a score of 28.67, Letter grade: F
ID:256 has a score of 28.67, Letter grade: F
ID:642 has a score of 28.67, Letter grade: F
ID:943 has a score of 28.67, Letter grade: F
ID:359 has a score of 28.67, Letter grade: F
ID:981 has a score of 28.67, Letter grade: F
ID:597 has a score of 28.67, Letter grade: F
ID:256 has a score of 28.67, Letter grade: F
ID:642 has a score of 28.67, Letter grade: F
ID:943 has a score of 28.67, Letter grade: F
ID:359 has a score of 28.67, Letter grade: F
ID:981 has a score of 28.67, Letter grade: F
ID:597 has a score of 28.67, Letter grade: F
ID:256 has a score of 28.67, Letter grade: F
ID:642 has a score of 28.67, Letter grade: F
ID:943 has a score of 28.67, Letter grade: F
ID:359 has a score of 28.67, Letter grade: F
ID:981 has a score of 28.67, Letter grade: F
ID:597 has a score of 28.67, Letter grade: F
ID:256 has a score of 28.67, Letter grade: F
ID:642 has a score of 28.67, Letter grade: F
ID:943 has a score of 28.67, Letter grade: F
ID:359 has a score of 28.67, Letter grade: F
ID:981 has a score of 28.67, Letter grade: F
ID:597 has a score of 28.67, Letter grade: F
ID:256 has a score of 28.67, Letter grade: F
ID:642 has a score of 28.67, Letter grade: F
ID:943 has a score of 28.67, Letter grade: F
ID:704 has a score of 29.0, Letter grade: F
ID:799 has a score of 29.0, Letter grade: F
ID:443 has a score of 29.0, Letter grade: F
ID:704 has a score of 29.0, Letter grade: F
ID:799 has a score of 29.0, Letter grade: F
ID:443 has a score of 29.0, Letter grade: F
ID:704 has a score of 29.0, Letter grade: F
ID:799 has a score of 29.0, Letter grade: F
ID:443 has a score of 29.0, Letter grade: F
ID:306 has a score of 29.33, Letter grade: F
ID:985 has a score of 29.33, Letter grade: F
ID:304 has a score of 29.33, Letter grade: F
ID:306 has a score of 29.33, Letter grade: F
ID:985 has a score of 29.33, Letter grade: F
ID:304 has a score of 29.33, Letter grade: F
ID:306 has a score of 29.33, Letter grade: F
ID:985 has a score of 29.33, Letter grade: F
ID:304 has a score of 29.33, Letter grade: F
ID:419 has a score of 29.67, Letter grade: F
ID:369 has a score of 29.67, Letter grade: F
ID:184 has a score of 29.67, Letter grade: F
ID:406 has a score of 29.67, Letter grade: F
ID:419 has a score of 29.67, Letter grade: F
ID:369 has a score of 29.67, Letter grade: F
ID:184 has a score of 29.67, Letter grade: F
ID:406 has a score of 29.67, Letter grade: F
ID:419 has a score of 29.67, Letter grade: F
ID:369 has a score of 29.67, Letter grade: F
ID:184 has a score of 29.67, Letter grade: F
ID:406 has a score of 29.67, Letter grade: F
ID:419 has a score of 29.67, Letter grade: F
ID:369 has a score of 29.67, Letter grade: F
ID:184 has a score of 29.67, Letter grade: F
ID:406 has a score of 29.67, Letter grade: F
ID:190 has a score of 30.0, Letter grade: F
ID:421 has a score of 30.0, Letter grade: F
ID:190 has a score of 30.0, Letter grade: F
ID:421 has a score of 30.0, Letter grade: F
ID:405 has a score of 30.33, Letter grade: F
ID:400 has a score of 30.33, Letter grade: F
ID:174 has a score of 30.33, Letter grade: F
ID:621 has a score of 30.33, Letter grade: F
ID:358 has a score of 30.33, Letter grade: F
ID:258 has a score of 30.33, Letter grade: F
ID:657 has a score of 30.33, Letter grade: F
ID:237 has a score of 30.33, Letter grade: F
ID:139 has a score of 30.33, Letter grade: F
ID:405 has a score of 30.33, Letter grade: F
ID:400 has a score of 30.33, Letter grade: F
ID:174 has a score of 30.33, Letter grade: F
ID:621 has a score of 30.33, Letter grade: F
ID:358 has a score of 30.33, Letter grade: F
ID:258 has a score of 30.33, Letter grade: F
ID:657 has a score of 30.33, Letter grade: F
ID:237 has a score of 30.33, Letter grade: F
ID:139 has a score of 30.33, Letter grade: F
ID:405 has a score of 30.33, Letter grade: F
ID:400 has a score of 30.33, Letter grade: F
ID:174 has a score of 30.33, Letter grade: F
ID:621 has a score of 30.33, Letter grade: F
ID:358 has a score of 30.33, Letter grade: F
ID:258 has a score of 30.33, Letter grade: F
ID:657 has a score of 30.33, Letter grade: F
ID:237 has a score of 30.33, Letter grade: F
ID:139 has a score of 30.33, Letter grade: F
ID:405 has a score of 30.33, Letter grade: F
ID:400 has a score of 30.33, Letter grade: F
ID:174 has a score of 30.33, Letter grade: F
ID:621 has a score of 30.33, Letter grade: F
ID:358 has a score of 30.33, Letter grade: F
ID:258 has a score of 30.33, Letter grade: F
ID:657 has a score of 30.33, Letter grade: F
ID:237 has a score of 30.33, Letter grade: F
ID:139 has a score of 30.33, Letter grade: F
ID:405 has a score of 30.33, Letter grade: F
ID:400 has a score of 30.33, Letter grade: F
ID:174 has a score of 30.33, Letter grade: F
ID:621 has a score of 30.33, Letter grade: F
ID:358 has a score of 30.33, Letter grade: F
ID:258 has a score of 30.33, Letter grade: F
ID:657 has a score of 30.33, Letter grade: F
ID:237 has a score of 30.33, Letter grade: F
ID:139 has a score of 30.33, Letter grade: F
ID:405 has a score of 30.33, Letter grade: F
ID:400 has a score of 30.33, Letter grade: F
ID:174 has a score of 30.33, Letter grade: F
ID:621 has a score of 30.33, Letter grade: F
ID:358 has a score of 30.33, Letter grade: F
ID:258 has a score of 30.33, Letter grade: F
ID:657 has a score of 30.33, Letter grade: F
ID:237 has a score of 30.33, Letter grade: F
ID:139 has a score of 30.33, Letter grade: F
ID:405 has a score of 30.33, Letter grade: F
ID:400 has a score of 30.33, Letter grade: F
ID:174 has a score of 30.33, Letter grade: F
ID:621 has a score of 30.33, Letter grade: F
ID:358 has a score of 30.33, Letter grade: F
ID:258 has a score of 30.33, Letter grade: F
ID:657 has a score of 30.33, Letter grade: F
ID:237 has a score of 30.33, Letter grade: F
ID:139 has a score of 30.33, Letter grade: F
ID:405 has a score of 30.33, Letter grade: F
ID:400 has a score of 30.33, Letter grade: F
ID:174 has a score of 30.33, Letter grade: F
ID:621 has a score of 30.33, Letter grade: F
ID:358 has a score of 30.33, Letter grade: F
ID:258 has a score of 30.33, Letter grade: F
ID:657 has a score of 30.33, Letter grade: F
ID:237 has a score of 30.33, Letter grade: F
ID:139 has a score of 30.33, Letter grade: F
ID:405 has a score of 30.33, Letter grade: F
ID:400 has a score of 30.33, Letter grade: F
ID:174 has a score of 30.33, Letter grade: F
ID:621 has a score of 30.33, Letter grade: F
ID:358 has a score of 30.33, Letter grade: F
ID:258 has a score of 30.33, Letter grade: F
ID:657 has a score of 30.33, Letter grade: F
ID:237 has a score of 30.33, Letter grade: F
ID:139 has a score of 30.33, Letter grade: F
ID:367 has a score of 30.67, Letter grade: F
ID:684 has a score of 30.67, Letter grade: F
ID:993 has a score of 30.67, Letter grade: F
ID:526 has a score of 30.67, Letter grade: F
ID:134 has a score of 30.67, Letter grade: F
ID:311 has a score of 30.67, Letter grade: F
ID:447 has a score of 30.67, Letter grade: F
ID:367 has a score of 30.67, Letter grade: F
ID:684 has a score of 30.67, Letter grade: F
ID:993 has a score of 30.67, Letter grade: F
ID:526 has a score of 30.67, Letter grade: F
ID:134 has a score of 30.67, Letter grade: F
ID:311 has a score of 30.67, Letter grade: F
ID:447 has a score of 30.67, Letter grade: F
ID:367 has a score of 30.67, Letter grade: F
ID:684 has a score of 30.67, Letter grade: F
ID:993 has a score of 30.67, Letter grade: F
ID:526 has a score of 30.67, Letter grade: F
ID:134 has a score of 30.67, Letter grade: F
ID:311 has a score of 30.67, Letter grade: F
ID:447 has a score of 30.67, Letter grade: F
ID:367 has a score of 30.67, Letter grade: F
ID:684 has a score of 30.67, Letter grade: F
ID:993 has a score of 30.67, Letter grade: F
ID:526 has a score of 30.67, Letter grade: F
ID:134 has a score of 30.67, Letter grade: F
ID:311 has a score of 30.67, Letter grade: F
ID:447 has a score of 30.67, Letter grade: F
ID:367 has a score of 30.67, Letter grade: F
ID:684 has a score of 30.67, Letter grade: F
ID:993 has a score of 30.67, Letter grade: F
ID:526 has a score of 30.67, Letter grade: F
ID:134 has a score of 30.67, Letter grade: F
ID:311 has a score of 30.67, Letter grade: F
ID:447 has a score of 30.67, Letter grade: F
ID:367 has a score of 30.67, Letter grade: F
ID:684 has a score of 30.67, Letter grade: F
ID:993 has a score of 30.67, Letter grade: F
ID:526 has a score of 30.67, Letter grade: F
ID:134 has a score of 30.67, Letter grade: F
ID:311 has a score of 30.67, Letter grade: F
ID:447 has a score of 30.67, Letter grade: F
ID:367 has a score of 30.67, Letter grade: F
ID:684 has a score of 30.67, Letter grade: F
ID:993 has a score of 30.67, Letter grade: F
ID:526 has a score of 30.67, Letter grade: F
ID:134 has a score of 30.67, Letter grade: F
ID:311 has a score of 30.67, Letter grade: F
ID:447 has a score of 30.67, Letter grade: F
ID:927 has a score of 31.0, Letter grade: F
ID:683 has a score of 31.0, Letter grade: F
ID:271 has a score of 31.0, Letter grade: F
ID:927 has a score of 31.0, Letter grade: F
ID:683 has a score of 31.0, Letter grade: F
ID:271 has a score of 31.0, Letter grade: F
ID:927 has a score of 31.0, Letter grade: F
ID:683 has a score of 31.0, Letter grade: F
ID:271 has a score of 31.0, Letter grade: F
ID:383 has a score of 31.33, Letter grade: F
ID:130 has a score of 31.33, Letter grade: F
ID:782 has a score of 31.33, Letter grade: F
ID:439 has a score of 31.33, Letter grade: F
ID:537 has a score of 31.33, Letter grade: F
ID:383 has a score of 31.33, Letter grade: F
ID:130 has a score of 31.33, Letter grade: F
ID:782 has a score of 31.33, Letter grade: F
ID:439 has a score of 31.33, Letter grade: F
ID:537 has a score of 31.33, Letter grade: F
ID:383 has a score of 31.33, Letter grade: F
ID:130 has a score of 31.33, Letter grade: F
ID:782 has a score of 31.33, Letter grade: F
ID:439 has a score of 31.33, Letter grade: F
ID:537 has a score of 31.33, Letter grade: F
ID:383 has a score of 31.33, Letter grade: F
ID:130 has a score of 31.33, Letter grade: F
ID:782 has a score of 31.33, Letter grade: F
ID:439 has a score of 31.33, Letter grade: F
ID:537 has a score of 31.33, Letter grade: F
ID:383 has a score of 31.33, Letter grade: F
ID:130 has a score of 31.33, Letter grade: F
ID:782 has a score of 31.33, Letter grade: F
ID:439 has a score of 31.33, Letter grade: F
ID:537 has a score of 31.33, Letter grade: F
ID:847 has a score of 31.67, Letter grade: F
ID:195 has a score of 31.67, Letter grade: F
ID:916 has a score of 31.67, Letter grade: F
ID:411 has a score of 31.67, Letter grade: F
ID:847 has a score of 31.67, Letter grade: F
ID:195 has a score of 31.67, Letter grade: F
ID:916 has a score of 31.67, Letter grade: F
ID:411 has a score of 31.67, Letter grade: F
ID:847 has a score of 31.67, Letter grade: F
ID:195 has a score of 31.67, Letter grade: F
ID:916 has a score of 31.67, Letter grade: F
ID:411 has a score of 31.67, Letter grade: F
ID:847 has a score of 31.67, Letter grade: F
ID:195 has a score of 31.67, Letter grade: F
ID:916 has a score of 31.67, Letter grade: F
ID:411 has a score of 31.67, Letter grade: F
ID:128 has a score of 32.0, Letter grade: F
ID:294 has a score of 32.0, Letter grade: F
ID:793 has a score of 32.0, Letter grade: F
ID:627 has a score of 32.0, Letter grade: F
ID:809 has a score of 32.0, Letter grade: F
ID:215 has a score of 32.0, Letter grade: F
ID:128 has a score of 32.0, Letter grade: F
ID:294 has a score of 32.0, Letter grade: F
ID:793 has a score of 32.0, Letter grade: F
ID:627 has a score of 32.0, Letter grade: F
ID:809 has a score of 32.0, Letter grade: F
ID:215 has a score of 32.0, Letter grade: F
ID:128 has a score of 32.0, Letter grade: F
ID:294 has a score of 32.0, Letter grade: F
ID:793 has a score of 32.0, Letter grade: F
ID:627 has a score of 32.0, Letter grade: F
ID:809 has a score of 32.0, Letter grade: F
ID:215 has a score of 32.0, Letter grade: F
ID:128 has a score of 32.0, Letter grade: F
ID:294 has a score of 32.0, Letter grade: F
ID:793 has a score of 32.0, Letter grade: F
ID:627 has a score of 32.0, Letter grade: F
ID:809 has a score of 32.0, Letter grade: F
ID:215 has a score of 32.0, Letter grade: F
ID:128 has a score of 32.0, Letter grade: F
ID:294 has a score of 32.0, Letter grade: F
ID:793 has a score of 32.0, Letter grade: F
ID:627 has a score of 32.0, Letter grade: F
ID:809 has a score of 32.0, Letter grade: F
ID:215 has a score of 32.0, Letter grade: F
ID:128 has a score of 32.0, Letter grade: F
ID:294 has a score of 32.0, Letter grade: F
ID:793 has a score of 32.0, Letter grade: F
ID:627 has a score of 32.0, Letter grade: F
ID:809 has a score of 32.0, Letter grade: F
ID:215 has a score of 32.0, Letter grade: F
ID:999 has a score of 32.33, Letter grade: F
ID:230 has a score of 32.33, Letter grade: F
ID:240 has a score of 32.33, Letter grade: F
ID:999 has a score of 32.33, Letter grade: F
ID:230 has a score of 32.33, Letter grade: F
ID:240 has a score of 32.33, Letter grade: F
ID:999 has a score of 32.33, Letter grade: F
ID:230 has a score of 32.33, Letter grade: F
ID:240 has a score of 32.33, Letter grade: F
ID:783 has a score of 32.67, Letter grade: F
ID:960 has a score of 32.67, Letter grade: F
ID:243 has a score of 32.67, Letter grade: F
ID:763 has a score of 32.67, Letter grade: F
ID:783 has a score of 32.67, Letter grade: F
ID:960 has a score of 32.67, Letter grade: F
ID:243 has a score of 32.67, Letter grade: F
ID:763 has a score of 32.67, Letter grade: F
ID:783 has a score of 32.67, Letter grade: F
ID:960 has a score of 32.67, Letter grade: F
ID:243 has a score of 32.67, Letter grade: F
ID:763 has a score of 32.67, Letter grade: F
ID:783 has a score of 32.67, Letter grade: F
ID:960 has a score of 32.67, Letter grade: F
ID:243 has a score of 32.67, Letter grade: F
ID:763 has a score of 32.67, Letter grade: F
ID:348 has a score of 33.0, Letter grade: F
ID:601 has a score of 33.0, Letter grade: F
ID:348 has a score of 33.0, Letter grade: F
ID:601 has a score of 33.0, Letter grade: F
ID:607 has a score of 33.33, Letter grade: F
ID:865 has a score of 33.33, Letter grade: F
ID:955 has a score of 33.33, Letter grade: F
ID:582 has a score of 33.33, Letter grade: F
ID:473 has a score of 33.33, Letter grade: F
ID:607 has a score of 33.33, Letter grade: F
ID:865 has a score of 33.33, Letter grade: F
ID:955 has a score of 33.33, Letter grade: F
ID:582 has a score of 33.33, Letter grade: F
ID:473 has a score of 33.33, Letter grade: F
ID:607 has a score of 33.33, Letter grade: F
ID:865 has a score of 33.33, Letter grade: F
ID:955 has a score of 33.33, Letter grade: F
ID:582 has a score of 33.33, Letter grade: F
ID:473 has a score of 33.33, Letter grade: F
ID:607 has a score of 33.33, Letter grade: F
ID:865 has a score of 33.33, Letter grade: F
ID:955 has a score of 33.33, Letter grade: F
ID:582 has a score of 33.33, Letter grade: F
ID:473 has a score of 33.33, Letter grade: F
ID:607 has a score of 33.33, Letter grade: F
ID:865 has a score of 33.33, Letter grade: F
ID:955 has a score of 33.33, Letter grade: F
ID:582 has a score of 33.33, Letter grade: F
ID:473 has a score of 33.33, Letter grade: F
ID:557 has a score of 33.67, Letter grade: F
ID:713 has a score of 33.67, Letter grade: F
ID:148 has a score of 33.67, Letter grade: F
ID:118 has a score of 33.67, Letter grade: F
ID:557 has a score of 33.67, Letter grade: F
ID:713 has a score of 33.67, Letter grade: F
ID:148 has a score of 33.67, Letter grade: F
ID:118 has a score of 33.67, Letter grade: F
ID:557 has a score of 33.67, Letter grade: F
ID:713 has a score of 33.67, Letter grade: F
ID:148 has a score of 33.67, Letter grade: F
ID:118 has a score of 33.67, Letter grade: F
ID:557 has a score of 33.67, Letter grade: F
